=== GC_1m_1789910262328.csv (5004 5m bars (aggregated), tickSize=0.1, stopRule=ZONE_SIZE_MULTIPLE(1.5), RR=1.0) ===
structure: 95 valid pullbacks, 66 TJL pairs formed, 26 flips
trades: 234 (65W / 163L / 6 flat)
totalR=-98.00 avgR=-0.42 maxDrawdownR=100.00

  2026-09-02T08:50:00Z LONG  entry=4361.00 stop=4357.70 target=4364.30 exit=4364.30 (target) R=1.00
  2026-09-02T09:10:00Z LONG  entry=4360.70 stop=4357.40 target=4364.00 exit=4357.40 (stop) R=-1.00
  2026-09-02T11:00:00Z LONG  entry=4360.00 stop=4356.70 target=4363.30 exit=4356.70 (stop) R=-1.00
  2026-09-02T11:10:00Z LONG  entry=4370.10 stop=4366.80 target=4373.40 exit=4366.80 (stop) R=-1.00
  2026-09-03T04:05:00Z LONG  entry=4478.70 stop=4478.50 target=4478.90 exit=4478.50 (stop) R=-1.00
  2026-09-03T05:20:00Z LONG  entry=4471.50 stop=4471.30 target=4471.70 exit=4471.30 (stop) R=-1.00
  2026-09-03T05:30:00Z SHORT entry=4476.80 stop=4477.30 target=4476.30 exit=4477.30 (stop) R=-1.00
  2026-09-03T05:40:00Z SHORT entry=4478.20 stop=4478.70 target=4477.70 exit=4478.70 (stop) R=-1.00
  2026-09-03T05:50:00Z SHORT entry=4479.30 stop=4483.70 target=4474.90 exit=4474.90 (target) R=1.00
  2026-09-03T06:05:00Z SHORT entry=4477.30 stop=4477.80 target=4476.80 exit=4476.80 (target) R=1.00
  2026-09-03T06:15:00Z SHORT entry=4471.90 stop=4472.10 target=4471.70 exit=4472.10 (stop) R=-1.00
  2026-09-03T07:00:00Z SHORT entry=4477.00 stop=4480.80 target=4473.20 exit=4473.20 (target) R=1.00
  2026-09-03T07:15:00Z SHORT entry=4470.90 stop=4474.70 target=4467.10 exit=4474.70 (stop) R=-1.00
  2026-09-03T07:25:00Z SHORT entry=4471.90 stop=4475.70 target=4468.10 exit=4475.70 (stop) R=-1.00
  2026-09-03T07:40:00Z SHORT entry=4472.10 stop=4475.90 target=4468.30 exit=4475.90 (stop) R=-1.00
  2026-09-03T07:55:00Z SHORT entry=4474.70 stop=4478.50 target=4470.90 exit=4478.50 (stop) R=-1.00
  2026-09-03T09:45:00Z LONG  entry=4475.40 stop=4471.60 target=4479.20 exit=4471.60 (stop) R=-1.00
  2026-09-03T10:10:00Z LONG  entry=4470.90 stop=4470.40 target=4471.40 exit=4470.40 (stop) R=-1.00
  2026-09-03T10:20:00Z LONG  entry=4466.20 stop=4465.70 target=4466.70 exit=4466.70 (target) R=1.00
  2026-09-03T10:30:00Z LONG  entry=4468.90 stop=4468.40 target=4469.40 exit=4468.40 (stop) R=-1.00
  2026-09-03T10:40:00Z LONG  entry=4472.00 stop=4468.20 target=4475.80 exit=4475.80 (target) R=1.00
  2026-09-03T11:30:00Z LONG  entry=4480.40 stop=4476.60 target=4484.20 exit=4484.20 (target) R=1.00
